Name,Price,Link
Honor X5c Plus 4G,"KSh16,700Original price was: KSh 16,700.KSh15,500Current price is: KSh 15,500.",https://www.phoneplacekenya.com/product/honor-x5c-plus-4g/
Vivo V60 Lite 4G,"KSh34,000Original price was: KSh 34,000.KSh33,000Current price is: KSh 33,000.",https://www.phoneplacekenya.com/product/vivo-v60-lite-4g/
Vivo X300 Pro,"KSh153,000Original price was: KSh 153,000.KSh151,000Current price is: KSh 151,000.",https://www.phoneplacekenya.com/product/vivo-x300-pro/
Samsung Galaxy M07,"KSh14,000",https://www.phoneplacekenya.com/product/samsung-galaxy-m07/
Samsung Galaxy F07 4G,"KSh14,000",https://www.phoneplacekenya.com/product/samsung-galaxy-f07-4g/
Samsung Galaxy M17 5G,"KSh20,200–KSh23,000Price range: KSh 20,200 through KSh 23,000",https://www.phoneplacekenya.com/product/samsung-galaxy-m17-5g/
Oppo A6 Pro 4G,"KSh44,000Original price was: KSh 44,000.KSh43,000Current price is: KSh 43,000.",https://www.phoneplacekenya.com/product/oppo-a6-pro-4g/
Honor Play10,"KSh12,000",https://www.phoneplacekenya.com/product/honor-play10/
Nothing Phone (3),"KSh85,500–KSh96,500Price range: KSh 85,500 through KSh 96,500",https://www.phoneplacekenya.com/product/nothing-phone-3/
OnePlus 15 5G,"KSh99,500–KSh109,000Price range: KSh 99,500 through KSh 109,000",https://www.phoneplacekenya.com/product/oneplus-15-5g/
Itel Super S26 Ultra 4G,"KSh27,400Original price was: KSh 27,400.KSh26,500Current price is: KSh 26,500.",https://www.phoneplacekenya.com/product/itel-super-s26-ultra-5g/
Xiaomi 17 Pro Max,"KSh131,000Original price was: KSh 131,000.KSh127,000Current price is: KSh 127,000.",https://www.phoneplacekenya.com/product/xiaomi-17-pro-max/
Samsung Galaxy M36 5G,"KSh23,500–KSh25,500Price range: KSh 23,500 through KSh 25,500",https://www.phoneplacekenya.com/product/samsung-galaxy-m36-5g/
Redmi 15 4G,"KSh20,500",https://www.phoneplacekenya.com/product/xiaomi-redmi-15-4g/
Samsung Galaxy A17 4G,"KSh20,500–KSh27,500Price range: KSh 20,500 through KSh 27,500",https://www.phoneplacekenya.com/product/samsung-galaxy-a17-4g/
Google Pixel 10 Pro,"KSh125,500Original price was: KSh 125,500.KSh121,000Current price is: KSh 121,000.",https://www.phoneplacekenya.com/product/google-pixel-10-pro/
Vivo V60 5G,"KSh59,000Original price was: KSh 59,000.KSh57,000Current price is: KSh 57,000.",https://www.phoneplacekenya.com/product/vivo-v60-5g/
Honor 400 Pro 5G,"KSh79,500Original price was: KSh 79,500.KSh77,000Current price is: KSh 77,000.",https://www.phoneplacekenya.com/product/honor-400-pro-5g/
Infinix GT 30 Pro,"KSh40,999Original price was: KSh 40,999.KSh38,000Current price is: KSh 38,000.",https://www.phoneplacekenya.com/product/infinix-gt-30-pro/
Honor X6c,"KSh19,800–KSh21,500Price range: KSh 19,800 through KSh 21,500",https://www.phoneplacekenya.com/product/honor-x6c/
Poco F7 Ultra,"KSh89,500Original price was: KSh 89,500.KSh80,000Current price is: KSh 80,000.",https://www.phoneplacekenya.com/product/xiaomi-poco-f7-ultra/
Samsung Galaxy A07 4G,"KSh13,300–KSh16,500Price range: KSh 13,300 through KSh 16,500",https://www.phoneplacekenya.com/product/samsung-galaxy-qo7-4g/
Samsung Galaxy A17 5G,"KSh26,000–KSh28,000Price range: KSh 26,000 through KSh 28,000",https://www.phoneplacekenya.com/product/samsung-galaxy-a17-5g/
Honor 400,"KSh54,000–KSh59,000Price range: KSh 54,000 through KSh 59,000",https://www.phoneplacekenya.com/product/honor-400/
Google Pixel 10a,"KSh61,000–KSh65,000Price range: KSh 61,000 through KSh 65,000",https://www.phoneplacekenya.com/product/google-pixel-10a/
Google Pixel 10 Pro Fold,"KSh165,000–KSh195,000Price range: KSh 165,000 through KSh 195,000",https://www.phoneplacekenya.com/product/google-pixel-10-pro-fold/
Google Pixel 10 Pro XL,"KSh125,000Original price was: KSh 125,000.KSh121,000Current price is: KSh 121,000.",https://www.phoneplacekenya.com/product/google-pixel-10-pro-xl/
Google Pixel 10,"KSh82,500–KSh87,000Price range: KSh 82,500 through KSh 87,000",https://www.phoneplacekenya.com/product/google-pixel-10/
Redmi 15C 4G,"KSh16,300–KSh21,800Price range: KSh 16,300 through KSh 21,800",https://www.phoneplacekenya.com/product/redmi-15c-4g/
Redmi Note 15 4G,"KSh27,500–KSh30,700Price range: KSh 27,500 through KSh 30,700",https://www.phoneplacekenya.com/product/redmi-note-15-4g/
Redmi Note 15 Pro 4G,"KSh38,600–KSh44,500Price range: KSh 38,600 through KSh 44,500",https://www.phoneplacekenya.com/product/redmi-note-15-pro-4g/
Redmi Note 15 Pro Plus 5G,"KSh53,000–KSh62,500Price range: KSh 53,000 through KSh 62,500",https://www.phoneplacekenya.com/product/redmi-note-15-pro-plus-5g/
ZTE Blade A36,"KSh12,000",https://www.phoneplacekenya.com/product/zte-blade-a36/
ZTE Blade A56,"KSh13,000",https://www.phoneplacekenya.com/product/zte-blade-a56/
Itel 2165,"KSh2,300",https://www.phoneplacekenya.com/product/itel-2165/
Nokia 105 (2023),"KSh2,500",https://www.phoneplacekenya.com/product/nokia-105-2023/
Apple iPhone 17,"KSh110,000–KSh145,000Price range: KSh 110,000 through KSh 145,000",https://www.phoneplacekenya.com/product/apple-iphone-17/
Apple iPhone 17 Air,"KSh118,000–KSh172,000Price range: KSh 118,000 through KSh 172,000",https://www.phoneplacekenya.com/product/apple-iphone-17-air/
Apple iPhone 17 Pro,"KSh152,000–KSh227,000Price range: KSh 152,000 through KSh 227,000",https://www.phoneplacekenya.com/product/apple-iphone-17-pro/
iPhone 17 Pro Max,"KSh158,000–KSh303,000Price range: KSh 158,000 through KSh 303,000",https://www.phoneplacekenya.com/product/iphone-17-pro-max/
Samsung Galaxy Z Fold7,"KSh161,000–KSh183,000Price range: KSh 161,000 through KSh 183,000",https://www.phoneplacekenya.com/product/samsung-galaxy-z-fold7/
OnePlus Nord CE5 5G,"KSh42,000Original price was: KSh 42,000.KSh38,500Current price is: KSh 38,500.",https://www.phoneplacekenya.com/product/oneplus-nord-ce5-5g/
OnePlus Nord 5,"KSh62,000Original price was: KSh 62,000.KSh58,000Current price is: KSh 58,000.",https://www.phoneplacekenya.com/product/oneplus-nord-5/
Itel A06,"KSh10,200Original price was: KSh 10,200.KSh9,999Current price is: KSh 9,999.",https://www.phoneplacekenya.com/product/itel-ao6/
Tecno T101,"KSh3,200Original price was: KSh 3,200.KSh2,000Current price is: KSh 2,000.",https://www.phoneplacekenya.com/product/tecno-t5101/
Realme C75x 4G,"KSh18,500",https://www.phoneplacekenya.com/product/realme-c75x-4g/
Samsung Galaxy F06 5G,"KSh17,500",https://www.phoneplacekenya.com/product/samsung-galaxy-f06-5g/
Infinix Hot 60 Pro Plus,"KSh28,500Original price was: KSh 28,500.KSh27,000Current price is: KSh 27,000.",https://www.phoneplacekenya.com/product/infinix-hot-60-pro-plus/
Infinix Hot 60i 4G,"KSh16,000–KSh18,000Price range: KSh 16,000 through KSh 18,000",https://www.phoneplacekenya.com/product/infinix-hot-60i-4g/
No Name,No Price,No Link
No Name,No Price,No Link
No Name,No Price,No Link
OnePlus 13s,"KSh69,000–KSh72,000Price range: KSh 69,000 through KSh 72,000",https://www.phoneplacekenya.com/product/oneplus-13s/
Samsung Galaxy M56,"KSh44,000Original price was: KSh 44,000.KSh38,000Current price is: KSh 38,000.",https://www.phoneplacekenya.com/product/samsung-galaxy-m56/
Honor 200 Pro 5G,"KSh68,000Original price was: KSh 68,000.KSh66,500Current price is: KSh 66,500.",https://www.phoneplacekenya.com/product/honor-200-pro-5g/
Honor X5b,"KSh13,500Original price was: KSh 13,500.KSh12,300Current price is: KSh 12,300.",https://www.phoneplacekenya.com/product/honor-x5b/
Infinix Note 50 Pro 4G,"KSh34,500Original price was: KSh 34,500.KSh32,000Current price is: KSh 32,000.",https://www.phoneplacekenya.com/product/infinix-note-50-pro-4g-2/
Samsung Galaxy F16 5G,"KSh23,500Original price was: KSh 23,500.KSh22,000Current price is: KSh 22,000.",https://www.phoneplacekenya.com/product/samsung-galaxy-f16-5g/
Samsung Galaxy A26 5G,"KSh28,000–KSh32,000Price range: KSh 28,000 through KSh 32,000",https://www.phoneplacekenya.com/product/samsung-galaxy-a26-5g/
Nothing Phone 3a,"KSh40,000–KSh49,000Price range: KSh 40,000 through KSh 49,000",https://www.phoneplacekenya.com/product/nothing-phone-3a/
Google Pixel 9a,"KSh54,500–KSh57,000Price range: KSh 54,500 through KSh 57,000",https://www.phoneplacekenya.com/product/google-pixel-9a/
Samsung Galaxy A56 5G,"KSh43,000–KSh48,500Price range: KSh 43,000 through KSh 48,500",https://www.phoneplacekenya.com/product/samsung-galaxy-a56-5g/
Samsung Galaxy A36 5G,"KSh35,000–KSh38,500Price range: KSh 35,000 through KSh 38,500",https://www.phoneplacekenya.com/product/samsung-galaxy-a36-5g/
Nothing Phone 3a Pro,"KSh59,000Original price was: KSh 59,000.KSh55,000Current price is: KSh 55,000.",https://www.phoneplacekenya.com/product/nothing-phone-3a-pro/
